"Colony","AnimalID","Treatment","ExpStart","Dig","Sweep","Kick","NestMaterial","NestBuild","FoodCarry","Miscell","Gnaw","Eat","Groom","SelfGroom","Sparr","Rest","Huddling","OutOfSight","ObservedDuration","DurationSeen","WorkNoGnaw","Nest","Active","Active_NoG","Seen_NoG","Testosterone","Weight","WeightRank","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90"
"Gemsbok 13","G13F001","Control",2015-02-25,3.33333333333333,44.45,7.26666666666667,0.183333333333333,0.05,4.36666666666667,135.266666666667,23.5166666666667,44.15,0.45,9.93333333333333,9.81666666666667,31.4166666666667,0.2,17.45,331.833333333333,314.383333333333,59.65,0.233333333333333,282.966666666667,259.45,290.866666666667,0.028,163,5,7,3,1,10,9,9,9,9
"Gemsbok 13","G13F001","Tlow",2015-02-11,1.38333333333333,38.1166666666667,6,1.23333333333333,1.75,5.11666666666667,126.266666666667,52.0833333333333,26.05,0.133333333333333,4.7,25.4666666666667,4.35,1.43333333333333,26.2666666666667,335.45,309.183333333333,53.6,2.98333333333333,304.833333333333,252.75,257.1,0.191,156,5,7,3,1,10,9,9,9,9
"Gemsbok 13","G13F001","Thigh",2015-03-11,4.16666666666667,41.5166666666667,10.2833333333333,1.23333333333333,0.65,0.466666666666667,108.866666666667,38.7833333333333,26.5333333333333,0,8.56666666666667,3.51666666666667,0.483333333333333,0,36.3,281.316666666667,245.016666666667,58.3166666666667,1.88333333333333,244.533333333333,205.75,206.233333333333,0.48,166,3,7,1,2,10,9,9,9,9
"Gemsbok 13","G13F007","Control",2015-03-11,8.73333333333333,74.8833333333333,14.4166666666667,4.51666666666667,0.85,0.716666666666667,142.716666666667,43.7833333333333,57.7166666666667,0,5.66666666666667,0.766666666666667,0.116666666666667,3.1,8.25,366.283333333333,358.033333333333,104.116666666667,5.36666666666667,357.916666666667,314.133333333333,314.25,0.09,164,4,7,2,2,10,9,9,9,9
"Gemsbok 13","G13F007","Tlow",2015-02-25,1.46666666666667,51.2,10.0833333333333,0.366666666666667,0.0666666666666667,2.85,139.05,37.3333333333333,31.2166666666667,0,8.75,0.45,22.1333333333333,0.3,12.9666666666667,320.833333333333,307.866666666667,66.0333333333333,0.433333333333333,285.733333333333,248.4,270.533333333333,0.241,173,3,7,1,1,10,9,9,9,9
"Gemsbok 13","G13F007","Thigh",2015-02-11,6.86666666666667,77.4166666666667,23.1833333333333,0.333333333333333,1.15,5.91666666666667,172.016666666667,41.9,43.0166666666667,0.316666666666667,14.1333333333333,3.51666666666667,31.3833333333333,10.6333333333333,15.0166666666667,443.966666666667,428.95,114.866666666667,1.48333333333333,397.566666666667,355.666666666667,387.05,0.471,173,3,7,1,0,10,9,9,9,9
"Gemsbok 3","G3F008","Control",2015-02-06,7.55,65.6666666666667,4.23333333333333,0,0,2.88333333333333,202.4,18.65,29.65,1.68333333333333,9.91666666666667,0.816666666666667,11,4.8,62.1666666666667,419.466666666667,357.3,80.3333333333333,0,346.3,327.65,338.65,0.025,138,7,6,3,2,13,10,10,9,9
"Gemsbok 3","G3F008","Tlow",2015-02-20,0.25,0.566666666666667,0.0333333333333333,0,0,0.333333333333333,74.5166666666667,0.166666666666667,13.4666666666667,0.0833333333333333,4.51666666666667,1.8,1.58333333333333,1.61666666666667,68.2333333333333,166.85,98.6166666666667,1.18333333333333,0,97.0333333333333,96.8666666666667,98.45,0.257,143,7,6,3,2,13,10,10,9,9
"Gemsbok 3","G3F008","Thigh",2015-03-06,2.76666666666667,11.0333333333333,1.2,0,0,1.31666666666667,134.533333333333,4.66666666666667,36.85,0.45,8.55,14.05,2.23333333333333,6.91666666666667,66.7666666666667,292.75,225.983333333333,16.3166666666667,0,223.75,219.083333333333,221.316666666667,0.499,141,7,6,3,2,13,11,10,10,9
"Gemsbok 3","G3F011","Control",2015-02-20,0.0166666666666667,0.2,0,0.266666666666667,0.466666666666667,0.666666666666667,50.4833333333333,0.0833333333333333,29.9166666666667,0,2.51666666666667,0.0833333333333333,5.56666666666667,0,37.8666666666667,128.133333333333,90.2666666666667,1.61666666666667,0.733333333333333,84.7,84.6166666666667,90.1833333333333,0.101,149,5,6,1,2,13,10,10,9,9
