"SampleID","AnimalID","Delay","Manipulation","Testosterone","Treatment","Date","SampleDate","SampleDelay","TreatmentAll","Colony","WeightDelay_Abs","Weight","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90","WeightRank","CompNB"
769,"G10F011",147,"Focal",0.256,"Thigh",2015-02-27,2015-02-28,1,"Thigh","Gemsbok 10",0,136,7,3,1,16,16,16,15,15,12,2
770,"G10F015",180,"Focal",0.05,"Control",2015-02-27,2015-02-28,1,"Control","Gemsbok 10",0,166,7,2,1,16,16,16,15,15,7,9
772,"G1F012",245,"Queen",0.067,"",2015-03-02,2015-03-02,NA,"Queen","Burda",0,170,2,1,0,3,3,3,3,2,1,0
793,"G11F011",292,"Focal",0.488,"Thigh",2015-03-04,2015-03-05,1,"Thigh","Gemsbok 11",0,123,7,2,0,13,12,12,12,11,6,0
794,"G11F010",300,"Focal",0.033,"Control",2015-03-04,2015-03-05,1,"Control","Gemsbok 11",0,105,7,4,3,13,12,12,12,11,8,3
797,"G3F011",205,"Focal",0.289,"Tlow",2015-03-06,2015-03-07,1,"Tlow","Gemsbok 3",0,150,6,1,2,13,11,10,10,9,5,2
798,"G3F008",165,"Focal",0.499,"Thigh",2015-03-06,2015-03-07,1,"Thigh","Gemsbok 3",0,141,6,3,2,13,11,10,10,9,7,2
822,"G13F001",195,"Focal",0.48,"Thigh",2015-03-11,2015-03-12,1,"Thigh","Gemsbok 13",0,166,7,1,2,10,9,9,9,9,3,2
823,"G13F007",240,"Focal",0.09,"Control",2015-03-11,2015-03-12,1,"Control","Gemsbok 13",0,164,7,2,2,10,9,9,9,9,4,2
829,"G10F011",600,"Focal",0.067,"Tlow",2015-03-13,2015-03-14,1,"Tlow","Gemsbok 10",0,142,7,3,0,15,15,15,15,14,11,0
830,"G10F015",400,"Focal",0.201,"Thigh",2015-03-13,2015-03-14,1,"Thigh","Gemsbok 10",0,172,7,1,1,15,15,15,15,14,3,8
841,"G4F004",374,"Focal",0.597,"Thigh",2015-03-16,2015-03-17,1,"Thigh","Gemsbok 4",0,148,8,2,1,13,11,8,8,7,4,3
842,"G4F002",520,"Focal",0.083,"Control",2015-03-16,2015-03-17,1,"Control","Gemsbok 4",0,162,8,1,0,13,11,8,8,7,1,1
